City,Cloudiness,Humidity,Latitudes,Longitudes,Max Temperature (F),Temperature,Wind Speed
mansa,0,33,23.43,72.66,77.0,77.0,3.36
donskoye,40,81,45.45,41.98,42.8,42.8,22.37
coelho neto,36,99,-4.25,-43.02,73.31,73.31,1.59
longyearbyen,20,60,78.22,15.63,10.4,10.4,18.34
saint-philippe,1,51,45.36,-73.48,35.6,35.6,6.93
cherskiy,0,76,68.75,161.3,31.95,31.95,7.29
hobart,75,40,-42.88,147.33,69.8,69.8,17.22
rikitea,32,100,-23.12,-134.97,78.35,78.35,4.94
samarai,64,100,-10.62,150.67,82.76,82.76,6.73
constitucion,5,8,23.99,-104.67,78.8,78.8,14.99
henties bay,92,90,-22.12,14.28,69.44,69.44,4.94
khatanga,56,81,71.98,102.47,-8.37,-8.37,7.52
ponta do sol,56,93,-20.63,-46.0,66.38,66.38,2.93
port alfred,36,90,-33.59,26.89,71.06,71.06,8.75
hermanus,36,98,-34.42,19.24,61.79,61.79,4.72
hilo,90,69,19.71,-155.08,78.8,78.8,9.17
albany,75,38,42.65,-73.75,39.2,39.2,3.36
kodiak,90,92,39.95,-94.76,32.0,32.0,8.05
tuktoyaktuk,75,84,69.44,-133.03,-0.41,-0.41,5.82
bluff,24,60,-23.58,149.07,79.11,79.11,17.02
carnarvon,56,95,-30.97,22.13,54.9,54.9,4.72
mataura,36,66,-46.19,168.86,59.0,59.0,20.83
minsk,90,74,53.9,27.56,33.8,33.8,8.95
jinhua,100,100,29.11,119.65,64.85,64.85,3.38
tasiilaq,8,78,65.61,-37.64,17.6,17.6,3.36
torbay,90,80,47.66,-52.73,30.2,30.2,13.87
atuona,0,100,-9.8,-139.03,81.95,81.95,16.35
banda aceh,24,100,5.56,95.32,73.94,73.94,1.92
torbay,90,80,47.66,-52.73,30.2,30.2,13.87
east london,76,98,-33.02,27.91,75.15,75.15,12.21
carnarvon,56,95,-30.97,22.13,54.9,54.9,4.72
tuktoyaktuk,75,84,69.44,-133.03,-0.41,-0.41,5.82
avarua,75,78,-21.21,-159.78,82.4,82.4,5.82
barrow,0,74,-38.31,-60.23,59.45,59.45,4.72
rikitea,32,100,-23.12,-134.97,78.35,78.35,4.94
ghauspur,40,69,28.14,69.08,75.2,75.2,4.7
victoria,75,79,5.28,115.24,86.0,86.0,4.7
tateyama,40,45,36.66,137.31,68.0,68.0,9.17
georgetown,75,100,6.8,-58.16,75.2,75.2,4.7
provideniya,75,92,64.42,-173.23,28.4,28.4,5.17
